k,sender,branch,t_ms,q_kb,q_tau0_kb,q_tau0_tau_star_kb,q_thresh_kb,r_ms,rhat_ms,theta_ms,sigma,g,g_target,R_gbps,dR_gbps_per_s,dg_per_s
39,S,AI,0.39,3808.895264,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.013,33.333333333,0.0
40,S,AI,0.4,3906.567383,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.013333333,33.333333333,0.0
41,S,AI,0.41,4004.239909,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.013666667,33.333333333,0.0
42,S,AI,0.42,4101.912842,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.014,33.333333333,0.0
43,S,AI,0.43,4199.586182,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.014333333,33.333333333,0.0
44,S,AI,0.44,4297.259928,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.014666667,33.333333333,0.0
45,S,AI,0.45,4394.934082,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.015,33.333333333,0.0
46,S,AI,0.46,4492.608643,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.015333333,33.333333333,0.0
47,S,AI,0.47,4590.28361,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.015666667,33.333333333,0.0
48,S,AI,0.48,4687.958984,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.016,33.333333333,0.0
49,S,AI,0.49,4785.634766,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.016333333,33.333333333,0.0
50,S,AI,0.5,4883.310954,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.016666667,33.333333333,0.0
51,S,AI,0.51,4980.987549,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.017,33.333333333,0.0
52,S,AI,0.52,5078.664551,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.017333333,33.333333333,0.0
53,S,AI,0.53,5176.34196,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.017666667,33.333333333,0.0
54,S,AI,0.54,5274.019775,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.018,33.333333333,0.0
55,S,AI,0.55,5371.697998,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.018333333,33.333333333,0.0
56,S,AI,0.56,5469.376628,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.018666667,33.333333333,0.0
57,S,AI,0.57,5567.055664,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.019,33.333333333,0.0
58,S,AI,0.58,5664.735107,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.019333333,33.333333333,0.0
59,S,AI,0.59,5762.414958,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.019666667,33.333333333,0.0
60,S,AI,0.6,5860.095215,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.02,33.333333333,0.0
61,S,AI,0.61,5957.775879,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.020333333,33.333333333,0.0
62,S,AI,0.62,6055.45695,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.020666667,33.333333333,0.0
63,S,AI,0.63,6153.138428,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.021,33.333333333,0.0
64,S,AI,0.64,6250.820312,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.021333333,33.333333333,0.0
65,S,AI,0.65,6348.502604,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.021666667,33.333333333,0.0
66,S,AI,0.66,6446.185303,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.022,33.333333333,0.0
67,S,AI,0.67,6543.868408,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.022333333,33.333333333,0.0
68,S,AI,0.68,6641.551921,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.022666667,33.333333333,0.0
69,S,AI,0.69,6739.23584,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.023,33.333333333,0.0
70,S,AI,0.7,6836.920166,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.023333333,33.333333333,0.0
71,S,AI,0.71,6934.604899,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.023666667,33.333333333,0.0
72,S,AI,0.72,7032.290039,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.024,33.333333333,0.0
73,S,AI,0.73,7129.975586,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.024333333,33.333333333,0.0
74,S,AI,0.74,7227.66154,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.024666667,33.333333333,0.0
75,S,AI,0.75,7325.3479,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.025,33.333333333,0.0
76,S,AI,0.76,7423.034668,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.025333333,33.333333333,0.0
77,S,AI,0.77,7520.721842,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.025666667,33.333333333,0.0
78,S,AI,0.78,7618.409424,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.026,33.333333333,0.0
79,S,AI,0.79,7716.097412,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.026333333,33.333333333,0.0
80,S,AI,0.8,7813.785807,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.026666667,33.333333333,0.0
81,S,AI,0.81,7911.474609,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.027,33.333333333,0.0
82,S,AI,0.82,8009.163818,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.027333333,33.333333333,0.0
83,S,AI,0.83,8106.853434,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.027666667,33.333333333,0.0
84,S,AI,0.84,8204.543457,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.028,33.333333333,0.0
85,S,AI,0.85,8302.233887,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.028333333,33.333333333,0.0
86,S,AI,0.86,8399.924723,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.028666667,33.333333333,0.0
87,S,AI,0.87,8497.615967,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.029,33.333333333,0.0
88,S,AI,0.88,8595.307617,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.029333333,33.333333333,0.0
89,S,AI,0.89,8692.999674,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.029666667,33.333333333,0.0
90,S,AI,0.9,8790.692139,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.03,33.333333333,0.0
91,S,AI,0.91,8888.38501,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.030333333,33.333333333,0.0
92,S,AI,0.92,8986.078288,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.030666667,33.333333333,0.0
93,S,AI,0.93,9083.771973,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.031,33.333333333,0.0
94,S,AI,0.94,9181.466064,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.031333333,33.333333333,0.0
95,S,AI,0.95,9279.160563,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.031666667,33.333333333,0.0
96,S,AI,0.96,9376.855469,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.032,33.333333333,0.0
97,S,AI,0.97,9474.550781,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.032333333,33.333333333,0.0
98,S,AI,0.98,9572.246501,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.032666667,33.333333333,0.0
99,S,AI,0.99,9669.942627,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.033,33.333333333,0.0
100,S,AI,1.0,9767.63916,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.033333333,33.333333333,0.0
101,S,AI,1.01,9865.3361,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.033666667,33.333333333,0.0
102,S,AI,1.02,9963.033447,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.034,33.333333333,0.0
103,S,AI,1.03,10060.731201,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.034333333,33.333333333,0.0
104,S,AI,1.04,10158.429362,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.034666667,33.333333333,0.0
105,S,AI,1.05,10256.12793,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.035,33.333333333,0.0
106,S,AI,1.06,10353.826904,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.035333333,33.333333333,0.0
107,S,AI,1.07,10451.526286,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.035666667,33.333333333,0.0
108,S,AI,1.08,10549.226074,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.036,33.333333333,0.0
109,S,AI,1.09,10646.92627,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.036333333,33.333333333,0.0
110,S,AI,1.1,10744.626872,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.036666667,33.333333333,0.0
111,S,AI,1.11,10842.327881,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.037,33.333333333,0.0
112,S,AI,1.12,10940.029297,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.037333333,33.333333333,0.0
113,S,AI,1.13,11037.73112,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.037666667,33.333333333,0.0
114,S,AI,1.14,11135.43335,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.038,33.333333333,0.0
115,S,AI,1.15,11233.135986,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.038333333,33.333333333,0.0
116,S,AI,1.16,11330.83903,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.038666667,33.333333333,0.0
117,S,AI,1.17,11428.54248,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.039,33.333333333,0.0
118,S,AI,1.18,11526.246338,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.039333333,33.333333333,0.0
119,S,AI,1.19,11623.950602,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.039666667,33.333333333,0.0
120,S,AI,1.2,11721.655273,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.04,33.333333333,0.0
121,S,AI,1.21,11819.360352,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.040333333,33.333333333,0.0
122,S,AI,1.22,11917.065837,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.040666667,33.333333333,0.0
123,S,AI,1.23,12014.771729,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.041,33.333333333,0.0
124,S,AI,1.24,12112.478027,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.041333333,33.333333333,0.0
125,S,AI,1.25,12210.184733,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.041666667,33.333333333,0.0
126,S,AI,1.26,12307.891846,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.042,33.333333333,0.0
127,S,AI,1.27,12405.599365,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.042333333,33.333333333,0.0
128,S,AI,1.28,12503.307292,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.042666667,33.333333333,0.0
129,S,AI,1.29,12601.015625,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.043,33.333333333,0.0
130,S,AI,1.3,12698.724365,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.043333333,33.333333333,0.0
131,S,AI,1.31,12796.433512,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.043666667,33.333333333,0.0
132,S,AI,1.32,12894.143066,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.044,33.333333333,0.0
133,S,AI,1.33,12991.853027,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.044333333,33.333333333,0.0
134,S,AI,1.34,13089.563395,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.044666667,33.333333333,0.0
135,S,AI,1.35,13187.27417,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.045,33.333333333,0.0
136,S,AI,1.36,13284.985352,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.045333333,33.333333333,0.0
137,S,AI,1.37,13382.69694,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.045666667,33.333333333,0.0
138,S,AI,1.38,13480.408936,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.046,33.333333333,0.0
139,S,AI,1.39,13578.121338,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.046333333,33.333333333,0.0
140,S,AI,1.4,13675.834147,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.046666667,33.333333333,0.0
141,S,AI,1.41,13773.547363,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.047,33.333333333,0.0
142,S,AI,1.42,13871.260986,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.047333333,33.333333333,0.0
143,S,AI,1.43,13968.975016,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.047666667,33.333333333,0.0
144,S,AI,1.44,14066.689453,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.048,33.333333333,0.0
145,S,AI,1.45,14164.404297,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.048333333,33.333333333,0.0
146,S,AI,1.46,14262.119548,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.048666667,33.333333333,0.0
147,S,AI,1.47,14359.835205,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.049,33.333333333,0.0
148,S,AI,1.48,14457.55127,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.049333333,33.333333333,0.0
149,S,AI,1.49,14555.267741,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.049666667,33.333333333,0.0
150,S,AI,1.5,14652.984619,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.05,33.333333333,0.0
151,S,AI,1.51,14750.701904,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.050333333,33.333333333,0.0
152,S,AI,1.52,14848.419596,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.050666667,33.333333333,0.0
153,S,AI,1.53,14946.137695,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.051,33.333333333,0.0
154,S,AI,1.54,15043.856201,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.051333333,33.333333333,0.0
155,S,AI,1.55,15141.575114,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.051666667,33.333333333,0.0
156,S,AI,1.56,15239.294434,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.052,33.333333333,0.0
157,S,AI,1.57,15337.01416,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.052333333,33.333333333,0.0
158,S,AI,1.58,15434.734294,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.052666667,33.333333333,0.0
159,S,AI,1.59,15532.454834,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.053,33.333333333,0.0
160,S,AI,1.6,15630.175781,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.053333333,33.333333333,0.0
161,S,AI,1.61,15727.897135,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.053666667,33.333333333,0.0
162,S,AI,1.62,15825.618896,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.054,33.333333333,0.0
163,S,AI,1.63,15923.341064,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.054333333,33.333333333,0.0
164,S,AI,1.64,16021.063639,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.054666667,33.333333333,0.0
165,S,AI,1.65,16118.786621,0.0,0.0,48828.125,4.0,4.0,5.0,1.0,0.0,0.0,480.055,33.333333333,0.0
