k,sender,branch,t_ms,q_kb,q_tau0_kb,q_tau0_tau_star_kb,q_thresh_kb,r_ms,rhat_ms,theta_ms,sigma,g,g_target,R_gbps,dR_gbps_per_s,dg_per_s
2279,S,AI,22.79,0.0,0.0,0.0,48828.125,4.0,3.716564,5.0,1.0,-0.017714722558,0.0,86.654839003,33.333333333,8.857361279178
2280,S,AI,22.8,0.0,0.0,0.0,48828.125,4.0,3.717982,5.0,1.0,-0.017626148946,0.0,86.655172336,33.333333333,8.813074472782
2281,S,AI,22.81,0.0,0.0,0.0,48828.125,4.0,3.719392,5.0,1.0,-0.017538018201,0.0,86.65550567,33.333333333,8.769009100418
2282,S,AI,22.82,0.0,0.0,0.0,48828.125,4.0,3.720795,5.0,1.0,-0.01745032811,0.0,86.655839003,33.333333333,8.725164054916
2283,S,AI,22.83,0.0,0.0,0.0,48828.125,4.0,3.722191,5.0,1.0,-0.017363076469,0.0,86.656172336,33.333333333,8.681538234641
2284,S,AI,22.84,0.0,0.0,0.0,48828.125,4.0,3.72358,5.0,1.0,-0.017276261087,0.0,86.65650567,33.333333333,8.638130543468
2285,S,AI,22.85,0.0,0.0,0.0,48828.125,4.0,3.724962,5.0,1.0,-0.017189879782,0.0,86.656839003,33.333333333,8.594939890751
2286,S,AI,22.86,0.0,0.0,0.0,48828.125,4.0,3.726337,5.0,1.0,-0.017103930383,0.0,86.657172336,33.333333333,8.551965191297
2287,S,AI,22.87,0.0,0.0,0.0,48828.125,4.0,3.727705,5.0,1.0,-0.017018410731,0.0,86.65750567,33.333333333,8.50920536534
2288,S,AI,22.88,0.0,0.0,0.0,48828.125,4.0,3.729067,5.0,1.0,-0.016933318677,0.0,86.657839003,33.333333333,8.466659338514
2289,S,AI,22.89,0.0,0.0,0.0,48828.125,4.0,3.730422,5.0,1.0,-0.016848652084,0.0,86.658172336,33.333333333,8.424326041821
2290,S,AI,22.9,0.0,0.0,0.0,48828.125,4.0,3.731769,5.0,1.0,-0.016764408823,0.0,86.65850567,33.333333333,8.382204411612
2291,S,AI,22.91,0.0,0.0,0.0,48828.125,4.0,3.733111,5.0,1.0,-0.016680586779,0.0,86.658839003,33.333333333,8.340293389554
2292,S,AI,22.92,0.0,0.0,0.0,48828.125,4.0,3.734445,5.0,1.0,-0.016597183845,0.0,86.659172336,33.333333333,8.298591922606
2293,S,AI,22.93,0.0,0.0,0.0,48828.125,4.0,3.735773,5.0,1.0,-0.016514197926,0.0,86.65950567,33.333333333,8.257098962993
2294,S,AI,22.94,0.0,0.0,0.0,48828.125,4.0,3.737094,5.0,1.0,-0.016431626936,0.0,86.659839003,33.333333333,8.215813468178
2295,S,AI,22.95,0.0,0.0,0.0,48828.125,4.0,3.738408,5.0,1.0,-0.016349468802,0.0,86.660172336,33.333333333,8.174734400837
2296,S,AI,22.96,0.0,0.0,0.0,48828.125,4.0,3.739716,5.0,1.0,-0.016267721458,0.0,86.66050567,33.333333333,8.133860728833
2297,S,AI,22.97,0.0,0.0,0.0,48828.125,4.0,3.741018,5.0,1.0,-0.01618638285,0.0,86.660839003,33.333333333,8.093191425189
2298,S,AI,22.98,0.0,0.0,0.0,48828.125,4.0,3.742313,5.0,1.0,-0.016105450936,0.0,86.661172336,33.333333333,8.052725468063
2299,S,AI,22.99,0.0,0.0,0.0,48828.125,4.0,3.743601,5.0,1.0,-0.016024923681,0.0,86.66150567,33.333333333,8.012461840723
2300,S,AI,23.0,0.0,0.0,0.0,48828.125,4.0,3.744883,5.0,1.0,-0.015944799063,0.0,86.661839003,33.333333333,7.972399531519
2301,S,AI,23.01,0.0,0.0,0.0,48828.125,4.0,3.746159,5.0,1.0,-0.015865075068,0.0,86.662172336,33.333333333,7.932537533862
2302,S,AI,23.02,0.0,0.0,0.0,48828.125,4.0,3.747428,5.0,1.0,-0.015785749692,0.0,86.66250567,33.333333333,7.892874846192
2303,S,AI,23.03,0.0,0.0,0.0,48828.125,4.0,3.748691,5.0,1.0,-0.015706820944,0.0,86.662839003,33.333333333,7.853410471961
2304,S,AI,23.04,0.0,0.0,0.0,48828.125,4.0,3.749947,5.0,1.0,-0.015628286839,0.0,86.663172336,33.333333333,7.814143419601
2305,S,AI,23.05,0.0,0.0,0.0,48828.125,4.0,3.751198,5.0,1.0,-0.015550145405,0.0,86.66350567,33.333333333,7.775072702503
2306,S,AI,23.06,0.0,0.0,0.0,48828.125,4.0,3.752442,5.0,1.0,-0.015472394678,0.0,86.663839003,33.333333333,7.736197338991
2307,S,AI,23.07,0.0,0.0,0.0,48828.125,4.0,3.753679,5.0,1.0,-0.015395032705,0.0,86.664172336,33.333333333,7.697516352296
2308,S,AI,23.08,0.0,0.0,0.0,48828.125,4.0,3.754911,5.0,1.0,-0.015318057541,0.0,86.66450567,33.333333333,7.659028770534
2309,S,AI,23.09,0.0,0.0,0.0,48828.125,4.0,3.756137,5.0,1.0,-0.015241467253,0.0,86.664839003,33.333333333,7.620733626682
2310,S,AI,23.1,0.0,0.0,0.0,48828.125,4.0,3.757356,5.0,1.0,-0.015165259917,0.0,86.665172336,33.333333333,7.582629958548
2311,S,AI,23.11,0.0,0.0,0.0,48828.125,4.0,3.758569,5.0,1.0,-0.015089433618,0.0,86.66550567,33.333333333,7.544716808756
2312,S,AI,23.12,0.0,0.0,0.0,48828.125,4.0,3.759776,5.0,1.0,-0.015013986449,0.0,86.665839003,33.333333333,7.506993224712
2313,S,AI,23.13,0.0,0.0,0.0,48828.125,4.0,3.760977,5.0,1.0,-0.014938916517,0.0,86.666172336,33.333333333,7.469458258588
2314,S,AI,23.14,0.0,0.0,0.0,48828.125,4.0,3.762172,5.0,1.0,-0.014864221935,0.0,86.66650567,33.333333333,7.432110967295
2315,S,AI,23.15,0.0,0.0,0.0,48828.125,4.0,3.763362,5.0,1.0,-0.014789900825,0.0,86.666839003,33.333333333,7.394950412459
2316,S,AI,23.16,0.0,0.0,0.0,48828.125,4.0,3.764545,5.0,1.0,-0.014715951321,0.0,86.667172336,33.333333333,7.357975660397
2317,S,AI,23.17,0.0,0.0,0.0,48828.125,4.0,3.765722,5.0,1.0,-0.014642371564,0.0,86.66750567,33.333333333,7.321185782095
2318,S,AI,23.18,0.0,0.0,0.0,48828.125,4.0,3.766893,5.0,1.0,-0.014569159706,0.0,86.667839003,33.333333333,7.284579853184
2319,S,AI,23.19,0.0,0.0,0.0,48828.125,4.0,3.768059,5.0,1.0,-0.014496313908,0.0,86.668172336,33.333333333,7.248156953918
2320,S,AI,23.2,0.0,0.0,0.0,48828.125,4.0,3.769219,5.0,1.0,-0.014423832338,0.0,86.66850567,33.333333333,7.211916169149
2321,S,AI,23.21,0.0,0.0,0.0,48828.125,4.0,3.770373,5.0,1.0,-0.014351713177,0.0,86.668839003,33.333333333,7.175856588303
2322,S,AI,23.22,0.0,0.0,0.0,48828.125,4.0,3.771521,5.0,1.0,-0.014279954611,0.0,86.669172336,33.333333333,7.139977305361
2323,S,AI,23.23,0.0,0.0,0.0,48828.125,4.0,3.772663,5.0,1.0,-0.014208554838,0.0,86.66950567,33.333333333,7.104277418835
2324,S,AI,23.24,0.0,0.0,0.0,48828.125,4.0,3.7738,5.0,1.0,-0.014137512063,0.0,86.669839003,33.333333333,7.06875603174
2325,S,AI,23.25,0.0,0.0,0.0,48828.125,4.0,3.774931,5.0,1.0,-0.014066824503,0.0,86.670172336,33.333333333,7.033412251582
2326,S,AI,23.26,0.0,0.0,0.0,48828.125,4.0,3.776056,5.0,1.0,-0.013996490381,0.0,86.67050567,33.333333333,6.998245190324
2327,S,AI,23.27,0.0,0.0,0.0,48828.125,4.0,3.777176,5.0,1.0,-0.013926507929,0.0,86.670839003,33.333333333,6.963253964372
2328,S,AI,23.28,0.0,0.0,0.0,48828.125,4.0,3.77829,5.0,1.0,-0.013856875389,0.0,86.671172336,33.333333333,6.92843769455
2329,S,AI,23.29,0.0,0.0,0.0,48828.125,4.0,3.779399,5.0,1.0,-0.013787591012,0.0,86.67150567,33.333333333,6.893795506078
2330,S,AI,23.3,0.0,0.0,0.0,48828.125,4.0,3.780502,5.0,1.0,-0.013718653057,0.0,86.671839003,33.333333333,6.859326528547
2331,S,AI,23.31,0.0,0.0,0.0,48828.125,4.0,3.781599,5.0,1.0,-0.013650059792,0.0,86.672172336,33.333333333,6.825029895904
2332,S,AI,23.32,0.0,0.0,0.0,48828.125,4.0,3.782691,5.0,1.0,-0.013581809493,0.0,86.67250567,33.333333333,6.790904746425
2333,S,AI,23.33,0.0,0.0,0.0,48828.125,4.0,3.783778,5.0,1.0,-0.013513900445,0.0,86.672839003,33.333333333,6.756950222693
2334,S,AI,23.34,0.0,0.0,0.0,48828.125,4.0,3.784859,5.0,1.0,-0.013446330943,0.0,86.673172336,33.333333333,6.723165471579
2335,S,AI,23.35,0.0,0.0,0.0,48828.125,4.0,3.785934,5.0,1.0,-0.013379099288,0.0,86.67350567,33.333333333,6.689549644221
2336,S,AI,23.36,0.0,0.0,0.0,48828.125,4.0,3.787005,5.0,1.0,-0.013312203792,0.0,86.673839003,33.333333333,6.656101896
2337,S,AI,23.37,0.0,0.0,0.0,48828.125,4.0,3.78807,5.0,1.0,-0.013245642773,0.0,86.674172336,33.333333333,6.62282138652
2338,S,AI,23.38,0.0,0.0,0.0,48828.125,4.0,3.789129,5.0,1.0,-0.013179414559,0.0,86.67450567,33.333333333,6.589707279588
2339,S,AI,23.39,0.0,0.0,0.0,48828.125,4.0,3.790184,5.0,1.0,-0.013113517486,0.0,86.674839003,33.333333333,6.55675874319
2340,S,AI,23.4,0.0,0.0,0.0,48828.125,4.0,3.791233,5.0,1.0,-0.013047949899,0.0,86.675172336,33.333333333,6.523974949474
2341,S,AI,23.41,0.0,0.0,0.0,48828.125,4.0,3.792277,5.0,1.0,-0.012982710149,0.0,86.67550567,33.333333333,6.491355074726
2342,S,AI,23.42,0.0,0.0,0.0,48828.125,4.0,3.793315,5.0,1.0,-0.012917796599,0.0,86.675839003,33.333333333,6.458898299353
2343,S,AI,23.43,0.0,0.0,0.0,48828.125,4.0,3.794349,5.0,1.0,-0.012853207616,0.0,86.676172336,33.333333333,6.426603807856
2344,S,AI,23.44,0.0,0.0,0.0,48828.125,4.0,3.795377,5.0,1.0,-0.012788941578,0.0,86.67650567,33.333333333,6.394470788817
2345,S,AI,23.45,0.0,0.0,0.0,48828.125,4.0,3.7964,5.0,1.0,-0.01272499687,0.0,86.676839003,33.333333333,6.362498434873
2346,S,AI,23.46,0.0,0.0,0.0,48828.125,4.0,3.797418,5.0,1.0,-0.012661371885,0.0,86.677172336,33.333333333,6.330685942698
2347,S,AI,23.47,0.0,0.0,0.0,48828.125,4.0,3.798431,5.0,1.0,-0.012598065026,0.0,86.67750567,33.333333333,6.299032512985
2348,S,AI,23.48,0.0,0.0,0.0,48828.125,4.0,3.799439,5.0,1.0,-0.012535074701,0.0,86.677839003,33.333333333,6.26753735042
2349,S,AI,23.49,0.0,0.0,0.0,48828.125,4.0,3.800442,5.0,1.0,-0.012472399327,0.0,86.678172336,33.333333333,6.236199663668
2350,S,AI,23.5,0.0,0.0,0.0,48828.125,4.0,3.801439,5.0,1.0,-0.012410037331,0.0,86.67850567,33.333333333,6.205018665349
2351,S,AI,23.51,0.0,0.0,0.0,48828.125,4.0,3.802432,5.0,1.0,-0.012347987144,0.0,86.678839003,33.333333333,6.173993572023
2352,S,AI,23.52,0.0,0.0,0.0,48828.125,4.0,3.80342,5.0,1.0,-0.012286247208,0.0,86.679172336,33.333333333,6.143123604163
2353,S,AI,23.53,0.0,0.0,0.0,48828.125,4.0,3.804403,5.0,1.0,-0.012224815972,0.0,86.67950567,33.333333333,6.112407986142
2354,S,AI,23.54,0.0,0.0,0.0,48828.125,4.0,3.805381,5.0,1.0,-0.012163691892,0.0,86.679839003,33.333333333,6.081845946211
2355,S,AI,23.55,0.0,0.0,0.0,48828.125,4.0,3.806354,5.0,1.0,-0.012102873433,0.0,86.680172336,33.333333333,6.05143671648
2356,S,AI,23.56,0.0,0.0,0.0,48828.125,4.0,3.807322,5.0,1.0,-0.012042359066,0.0,86.68050567,33.333333333,6.021179532898
2357,S,AI,23.57,0.0,0.0,0.0,48828.125,4.0,3.808286,5.0,1.0,-0.01198214727,0.0,86.680839003,33.333333333,5.991073635233
2358,S,AI,23.58,0.0,0.0,0.0,48828.125,4.0,3.809244,5.0,1.0,-0.011922236534,0.0,86.681172336,33.333333333,5.961118267057
2359,S,AI,23.59,0.0,0.0,0.0,48828.125,4.0,3.810198,5.0,1.0,-0.011862625351,0.0,86.68150567,33.333333333,5.931312675722
2360,S,AI,23.6,0.0,0.0,0.0,48828.125,4.0,3.811147,5.0,1.0,-0.011803312225,0.0,86.681839003,33.333333333,5.901656112343
2361,S,AI,23.61,0.0,0.0,0.0,48828.125,4.0,3.812091,5.0,1.0,-0.011744295664,0.0,86.682172336,33.333333333,5.872147831781
2362,S,AI,23.62,0.0,0.0,0.0,48828.125,4.0,3.813031,5.0,1.0,-0.011685574185,0.0,86.68250567,33.333333333,5.842787092622
2363,S,AI,23.63,0.0,0.0,0.0,48828.125,4.0,3.813966,5.0,1.0,-0.011627146314,0.0,86.682839003,33.333333333,5.813573157159
2364,S,AI,23.64,0.0,0.0,0.0,48828.125,4.0,3.814896,5.0,1.0,-0.011569010583,0.0,86.683172336,33.333333333,5.784505291374
2365,S,AI,23.65,0.0,0.0,0.0,48828.125,4.0,3.815821,5.0,1.0,-0.01151116553,0.0,86.68350567,33.333333333,5.755582764917
2366,S,AI,23.66,0.0,0.0,0.0,48828.125,4.0,3.816742,5.0,1.0,-0.011453609702,0.0,86.683839003,33.333333333,5.726804851092
2367,S,AI,23.67,0.0,0.0,0.0,48828.125,4.0,3.817659,5.0,1.0,-0.011396341654,0.0,86.684172336,33.333333333,5.698170826837
2368,S,AI,23.68,0.0,0.0,0.0,48828.125,4.0,3.81857,5.0,1.0,-0.011339359945,0.0,86.68450567,33.333333333,5.669679972702
2369,S,AI,23.69,0.0,0.0,0.0,48828.125,4.0,3.819477,5.0,1.0,-0.011282663146,0.0,86.684839003,33.333333333,5.641331572839
2370,S,AI,23.7,0.0,0.0,0.0,48828.125,4.0,3.82038,5.0,1.0,-0.01122624983,0.0,86.685172336,33.333333333,5.613124914975
2371,S,AI,23.71,0.0,0.0,0.0,48828.125,4.0,3.821278,5.0,1.0,-0.011170118581,0.0,86.68550567,33.333333333,5.5850592904
2372,S,AI,23.72,0.0,0.0,0.0,48828.125,4.0,3.822172,5.0,1.0,-0.011114267988,0.0,86.685839003,33.333333333,5.557133993948
2373,S,AI,23.73,0.0,0.0,0.0,48828.125,4.0,3.823061,5.0,1.0,-0.011058696648,0.0,86.686172336,33.333333333,5.529348323978
2374,S,AI,23.74,0.0,0.0,0.0,48828.125,4.0,3.823946,5.0,1.0,-0.011003403165,0.0,86.68650567,33.333333333,5.501701582358
2375,S,AI,23.75,0.0,0.0,0.0,48828.125,4.0,3.824826,5.0,1.0,-0.010948386149,0.0,86.686839003,33.333333333,5.474193074446
2376,S,AI,23.76,0.0,0.0,0.0,48828.125,4.0,3.825702,5.0,1.0,-0.010893644218,0.0,86.687172336,33.333333333,5.446822109074
2377,S,AI,23.77,0.0,0.0,0.0,48828.125,4.0,3.826573,5.0,1.0,-0.010839175997,0.0,86.68750567,33.333333333,5.419587998529
2378,S,AI,23.78,0.0,0.0,0.0,48828.125,4.0,3.82744,5.0,1.0,-0.010784980117,0.0,86.687839003,33.333333333,5.392490058536
2379,S,AI,23.79,0.0,0.0,0.0,48828.125,4.0,3.828303,5.0,1.0,-0.010731055216,0.0,86.688172336,33.333333333,5.365527608244
2380,S,AI,23.8,0.0,0.0,0.0,48828.125,4.0,3.829162,5.0,1.0,-0.01067739994,0.0,86.68850567,33.333333333,5.338699970202
2381,S,AI,23.81,0.0,0.0,0.0,48828.125,4.0,3.830016,5.0,1.0,-0.010624012941,0.0,86.688839003,33.333333333,5.312006470351
2382,S,AI,23.82,0.0,0.0,0.0,48828.125,4.0,3.830866,5.0,1.0,-0.010570892876,0.0,86.689172336,33.333333333,5.285446438
2383,S,AI,23.83,0.0,0.0,0.0,48828.125,4.0,3.831711,5.0,1.0,-0.010518038412,0.0,86.68950567,33.333333333,5.25901920581
2384,S,AI,23.84,0.0,0.0,0.0,48828.125,4.0,3.832553,5.0,1.0,-0.01046544822,0.0,86.689839003,33.333333333,5.232724109781
2385,S,AI,23.85,0.0,0.0,0.0,48828.125,4.0,3.83339,5.0,1.0,-0.010413120978,0.0,86.690172336,33.333333333,5.206560489232
2386,S,AI,23.86,0.0,0.0,0.0,48828.125,4.0,3.834223,5.0,1.0,-0.010361055374,0.0,86.69050567,33.333333333,5.180527686785
2387,S,AI,23.87,0.0,0.0,0.0,48828.125,4.0,3.835052,5.0,1.0,-0.010309250097,0.0,86.690839003,33.333333333,5.154625048352
2388,S,AI,23.88,0.0,0.0,0.0,48828.125,4.0,3.835877,5.0,1.0,-0.010257703846,0.0,86.691172336,33.333333333,5.12885192311
2389,S,AI,23.89,0.0,0.0,0.0,48828.125,4.0,3.836697,5.0,1.0,-0.010206415327,0.0,86.69150567,33.333333333,5.103207663494
2390,S,AI,23.9,0.0,0.0,0.0,48828.125,4.0,3.837514,5.0,1.0,-0.01015538325,0.0,86.691839003,33.333333333,5.077691625177
2391,S,AI,23.91,0.0,0.0,0.0,48828.125,4.0,3.838326,5.0,1.0,-0.010104606334,0.0,86.692172336,33.333333333,5.052303167051
2392,S,AI,23.92,0.0,0.0,0.0,48828.125,4.0,3.839135,5.0,1.0,-0.010054083302,0.0,86.69250567,33.333333333,5.027041651216
2393,S,AI,23.93,0.0,0.0,0.0,48828.125,4.0,3.839939,5.0,1.0,-0.010003812886,0.0,86.692839003,33.333333333,5.00190644296
2394,S,AI,23.94,0.0,0.0,0.0,48828.125,4.0,3.840739,5.0,1.0,-0.009953793821,0.0,86.693172336,33.333333333,4.976896910745
2395,S,AI,23.95,0.0,0.0,0.0,48828.125,4.0,3.841536,5.0,1.0,-0.009904024852,0.0,86.69350567,33.333333333,4.952012426191
2396,S,AI,23.96,0.0,0.0,0.0,48828.125,4.0,3.842328,5.0,1.0,-0.009854504728,0.0,86.693839003,33.333333333,4.92725236406
2397,S,AI,23.97,0.0,0.0,0.0,48828.125,4.0,3.843116,5.0,1.0,-0.009805232204,0.0,86.694172336,33.333333333,4.90261610224
2398,S,AI,23.98,0.0,0.0,0.0,48828.125,4.0,3.843901,5.0,1.0,-0.009756206043,0.0,86.69450567,33.333333333,4.878103021729
2399,S,AI,23.99,0.0,0.0,0.0,48828.125,4.0,3.844681,5.0,1.0,-0.009707425013,0.0,86.694839003,33.333333333,4.85371250662
2400,S,AI,24.0,0.0,0.0,0.0,48828.125,4.0,3.845458,5.0,1.0,-0.009658887888,0.0,86.695172336,33.333333333,4.829443944087
2401,S,AI,24.01,0.0,0.0,0.0,48828.125,4.0,3.846231,5.0,1.0,-0.009610593449,0.0,86.69550567,33.333333333,4.805296724366
2402,S,AI,24.02,0.0,0.0,0.0,48828.125,4.0,3.846999,5.0,1.0,-0.009562540481,0.0,86.695839003,33.333333333,4.781270240745
2403,S,AI,24.03,0.0,0.0,0.0,48828.125,4.0,3.847764,5.0,1.0,-0.009514727779,0.0,86.696172336,33.333333333,4.757363889541
2404,S,AI,24.04,0.0,0.0,0.0,48828.125,4.0,3.848526,5.0,1.0,-0.00946715414,0.0,86.69650567,33.333333333,4.733577070093
2405,S,AI,24.05,0.0,0.0,0.0,48828.125,4.0,3.849283,5.0,1.0,-0.009419818369,0.0,86.696839003,33.333333333,4.709909184743
2406,S,AI,24.06,0.0,0.0,0.0,48828.125,4.0,3.850036,5.0,1.0,-0.009372719278,0.0,86.697172336,33.333333333,4.686359638819
2407,S,AI,24.07,0.0,0.0,0.0,48828.125,4.0,3.850786,5.0,1.0,-0.009325855681,0.0,86.69750567,33.333333333,4.662927840625
2408,S,AI,24.08,0.0,0.0,0.0,48828.125,4.0,3.851532,5.0,1.0,-0.009279226403,0.0,86.697839003,33.333333333,4.639613201422
2409,S,AI,24.09,0.0,0.0,0.0,48828.125,4.0,3.852275,5.0,1.0,-0.009232830271,0.0,86.698172336,33.333333333,4.616415135415
2410,S,AI,24.1,0.0,0.0,0.0,48828.125,4.0,3.853013,5.0,1.0,-0.009186666119,0.0,86.69850567,33.333333333,4.593333059738
2411,S,AI,24.11,0.0,0.0,0.0,48828.125,4.0,3.853748,5.0,1.0,-0.009140732789,0.0,86.698839003,33.333333333,4.570366394439
2412,S,AI,24.12,0.0,0.0,0.0,48828.125,4.0,3.85448,5.0,1.0,-0.009095029125,0.0,86.699172336,33.333333333,4.547514562467
2413,S,AI,24.13,0.0,0.0,0.0,48828.125,4.0,3.855207,5.0,1.0,-0.009049553979,0.0,86.69950567,33.333333333,4.524776989654
2414,S,AI,24.14,0.0,0.0,0.0,48828.125,4.0,3.855931,5.0,1.0,-0.009004306209,0.0,86.699839003,33.333333333,4.502153104706
2415,S,AI,24.15,0.0,0.0,0.0,48828.125,4.0,3.856651,5.0,1.0,-0.008959284678,0.0,86.700172336,33.333333333,4.479642339183
2416,S,AI,24.16,0.0,0.0,0.0,48828.125,4.0,3.857368,5.0,1.0,-0.008914488255,0.0,86.70050567,33.333333333,4.457244127487
2417,S,AI,24.17,0.0,0.0,0.0,48828.125,4.0,3.858081,5.0,1.0,-0.008869915814,0.0,86.700839003,33.333333333,4.434957906849
2418,S,AI,24.18,0.0,0.0,0.0,48828.125,4.0,3.858791,5.0,1.0,-0.008825566235,0.0,86.701172336,33.333333333,4.412783117315
2419,S,AI,24.19,0.0,0.0,0.0,48828.125,4.0,3.859497,5.0,1.0,-0.008781438403,0.0,86.70150567,33.333333333,4.390719201728
2420,S,AI,24.2,0.0,0.0,0.0,48828.125,4.0,3.8602,5.0,1.0,-0.008737531211,0.0,86.701839003,33.333333333,4.36876560572
2421,S,AI,24.21,0.0,0.0,0.0,48828.125,4.0,3.860899,5.0,1.0,-0.008693843555,0.0,86.702172336,33.333333333,4.346921777691
2422,S,AI,24.22,0.0,0.0,0.0,48828.125,4.0,3.861594,5.0,1.0,-0.008650374338,0.0,86.70250567,33.333333333,4.325187168803
2423,S,AI,24.23,0.0,0.0,0.0,48828.125,4.0,3.862286,5.0,1.0,-0.008607122466,0.0,86.702839003,33.333333333,4.303561232959
2424,S,AI,24.24,0.0,0.0,0.0,48828.125,4.0,3.862975,5.0,1.0,-0.008564086854,0.0,86.703172336,33.333333333,4.282043426794
2425,S,AI,24.25,0.0,0.0,0.0,48828.125,4.0,3.86366,5.0,1.0,-0.008521266419,0.0,86.70350567,33.333333333,4.26063320966
2426,S,AI,24.26,0.0,0.0,0.0,48828.125,4.0,3.864341,5.0,1.0,-0.008478660087,0.0,86.703839003,33.333333333,4.239330043612
2427,S,AI,24.27,0.0,0.0,0.0,48828.125,4.0,3.86502,5.0,1.0,-0.008436266787,0.0,86.704172336,33.333333333,4.218133393394
2428,S,AI,24.28,0.0,0.0,0.0,48828.125,4.0,3.865695,5.0,1.0,-0.008394085453,0.0,86.70450567,33.333333333,4.197042726427
2429,S,AI,24.29,0.0,0.0,0.0,48828.125,4.0,3.866366,5.0,1.0,-0.008352115026,0.0,86.704839003,33.333333333,4.176057512794
2430,S,AI,24.3,0.0,0.0,0.0,48828.125,4.0,3.867034,5.0,1.0,-0.00831035445,0.0,86.705172336,33.333333333,4.15517722523
2431,S,AI,24.31,0.0,0.0,0.0,48828.125,4.0,3.867699,5.0,1.0,-0.008268802678,0.0,86.70550567,33.333333333,4.134401339104
2432,S,AI,24.32,0.0,0.0,0.0,48828.125,4.0,3.868361,5.0,1.0,-0.008227458665,0.0,86.705839003,33.333333333,4.113729332409
2433,S,AI,24.33,0.0,0.0,0.0,48828.125,4.0,3.869019,5.0,1.0,-0.008186321371,0.0,86.706172336,33.333333333,4.093160685747
2434,S,AI,24.34,0.0,0.0,0.0,48828.125,4.0,3.869674,5.0,1.0,-0.008145389765,0.0,86.70650567,33.333333333,4.072694882318
2435,S,AI,24.35,0.0,0.0,0.0,48828.125,4.0,3.870325,5.0,1.0,-0.008104662816,0.0,86.706839003,33.333333333,4.052331407906
2436,S,AI,24.36,0.0,0.0,0.0,48828.125,4.0,3.870974,5.0,1.0,-0.008064139502,0.0,86.707172336,33.333333333,4.032069750867
2437,S,AI,24.37,0.0,0.0,0.0,48828.125,4.0,3.871619,5.0,1.0,-0.008023818804,0.0,86.70750567,33.333333333,4.011909402113
2438,S,AI,24.38,0.0,0.0,0.0,48828.125,4.0,3.872261,5.0,1.0,-0.00798369971,0.0,86.707839003,33.333333333,3.991849855102
2439,S,AI,24.39,0.0,0.0,0.0,48828.125,4.0,3.8729,5.0,1.0,-0.007943781212,0.0,86.708172336,33.333333333,3.971890605826
2440,S,AI,24.4,0.0,0.0,0.0,48828.125,4.0,3.873535,5.0,1.0,-0.007904062306,0.0,86.70850567,33.333333333,3.952031152797
2441,S,AI,24.41,0.0,0.0,0.0,48828.125,4.0,3.874167,5.0,1.0,-0.007864541994,0.0,86.708839003,33.333333333,3.932270997033
2442,S,AI,24.42,0.0,0.0,0.0,48828.125,4.0,3.874796,5.0,1.0,-0.007825219284,0.0,86.709172336,33.333333333,3.912609642048
2443,S,AI,24.43,0.0,0.0,0.0,48828.125,4.0,3.875423,5.0,1.0,-0.007786093188,0.0,86.70950567,33.333333333,3.893046593838
2444,S,AI,24.44,0.0,0.0,0.0,48828.125,4.0,3.876045,5.0,1.0,-0.007747162722,0.0,86.709839003,33.333333333,3.873581360869
2445,S,AI,24.45,0.0,0.0,0.0,48828.125,4.0,3.876665,5.0,1.0,-0.007708426908,0.0,86.710172336,33.333333333,3.854213454064
2446,S,AI,24.46,0.0,0.0,0.0,48828.125,4.0,3.877282,5.0,1.0,-0.007669884774,0.0,86.71050567,33.333333333,3.834942386794
2447,S,AI,24.47,0.0,0.0,0.0,48828.125,4.0,3.877895,5.0,1.0,-0.00763153535,0.0,86.710839003,33.333333333,3.81576767486
2448,S,AI,24.48,0.0,0.0,0.0,48828.125,4.0,3.878506,5.0,1.0,-0.007593377673,0.0,86.711172336,33.333333333,3.796688836486
2449,S,AI,24.49,0.0,0.0,0.0,48828.125,4.0,3.879113,5.0,1.0,-0.007555410785,0.0,86.71150567,33.333333333,3.777705392303
2450,S,AI,24.5,0.0,0.0,0.0,48828.125,4.0,3.879718,5.0,1.0,-0.007517633731,0.0,86.711839003,33.333333333,3.758816865342
2451,S,AI,24.51,0.0,0.0,0.0,48828.125,4.0,3.880319,5.0,1.0,-0.007480045562,0.0,86.712172336,33.333333333,3.740022781015
2452,S,AI,24.52,0.0,0.0,0.0,48828.125,4.0,3.880918,5.0,1.0,-0.007442645334,0.0,86.71250567,33.333333333,3.72132266711
2453,S,AI,24.53,0.0,0.0,0.0,48828.125,4.0,3.881513,5.0,1.0,-0.007405432108,0.0,86.712839003,33.333333333,3.702716053775
2454,S,AI,24.54,0.0,0.0,0.0,48828.125,4.0,3.882106,5.0,1.0,-0.007368404947,0.0,86.713172336,33.333333333,3.684202473506
2455,S,AI,24.55,0.0,0.0,0.0,48828.125,4.0,3.882695,5.0,1.0,-0.007331562922,0.0,86.71350567,33.333333333,3.665781461138
2456,S,AI,24.56,0.0,0.0,0.0,48828.125,4.0,3.883282,5.0,1.0,-0.007294905108,0.0,86.713839003,33.333333333,3.647452553832
2457,S,AI,24.57,0.0,0.0,0.0,48828.125,4.0,3.883865,5.0,1.0,-0.007258430582,0.0,86.714172336,33.333333333,3.629215291063
2458,S,AI,24.58,0.0,0.0,0.0,48828.125,4.0,3.884446,5.0,1.0,-0.007222138429,0.0,86.71450567,33.333333333,3.611069214608
